12-Apr,IMP,300,0

12-Apr,DIPAKAI UNTUK LEDGER 0.6 =100, POTONG DARI 1.2 = 50, JADI ADA KIRI KANAN,0,100

12-Apr,DIPAKAI UNTUK BUAT LEDGER 0.6 BARU DARI POTONGAN PIPA BARU,0,100

