2024-01-15 00:00:00,TBP PLTU SUMBANGSEL,14,0
2024-02-05 00:00:00,TBP PLTU SUMBANGSEL,42,0
2024-02-12 00:00:00,TBP PLTU SUMBANGSEL,51,0
2024-02-12 00:00:00,TBP PLTU SUMBANGSEL AFKIR,1,0
0,0,108,0
